grCode	en	abbreviation	el	otherName
13.03.05.90.015	Lua antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ Lua	
13.03.05.90.016	Lub antigen typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ Lub	
13.03.05.90.900	Other Rare Antigen Typing		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΛΛΩΝ ΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΓΟΝΩΝ ΕΚΤΟΣ ABO & RHESUS, ΠΟΥ ΔΕΝ ΠΕΡΙΛΑΜΒΑΝΟΝΤΑΙ ΣΤΑ ΠΑΡΑΠΑΝΩ (ΑΝΑ ΑΝΤΙΓΟΝΟ)	
13.03.90.20.001	Typing platelet-antibodies (platelet alloimmunization)		ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΑΙΜΟΠΕΤΑΛΙΑΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ	
13.03.90.21.001	Typing platelet-specific antigens		ΤΥΠΟΠΟΙΗΣΗ ΑΝΤΙΓΟΝΩΝ ΑΙΜΟΠΕΤΑΛΙΩΝ (ΗΡΑ) (ΑΝΑ ΑΝΤΙΓΟΝΟ)	
13.03.90.22.001	Compatibility platelets testing		ΔΙΑΣΤΑΥΡΩΣΗ ΑΙΜΟΠΕΤΑΛΙΩΝ	
13.03.90.23.001	Blood group chimerism by flow cytometry		ΜΕΛΕΤΗ ΧΙΜΑΙΡΙΣΜΟΥ ΟΜΑΔΩΝ ΑΙΜΑΤΟΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.03.90.24.001	Other Immunohaematology of transfusion tests		ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΝΟΣΟΑΙΜΑΤΟΛΟΓΙΑΣ ΤΗΣ ΜΕΤΑΓΓΙΣΗΣ ΠΟΥ ΔΕΝ ΠΕΡΙΛΑΜΒΑΝΟΝΤΑΙ ΣΤΙΣ ΠΑΡΑΠΑΝΩ	
13.03.90.25.001	Molecural typing of blood group (per antigen)		ΜΟΡΙΑΚΗ ΤΑΥΤΟΠΟΙΗΣΗ ΟΜΑΔΩΝ ΑΙΜΑΤΟΣ (ΑΝΑ ΑΝΤΙΓΟΝΟ)	
13.03.90.90.900	Unclassifiable and Other Immunohaematology Tests		ΑΛΛΕΣ ΜΗ ΚΑΤΗΓΟΡΙΟΠΟΙΗΜΕΝΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΙΜΟΔΟΣΙΑΣ	
13.05.01.20.001	Flow cytometry lymphocyte immunophenotyping (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΛΕΜΦΟΚΥΤΤΑΡΩΝ ΠΕΡΙΦΕΡΙΚΟΥ ΑΙΜΑΤΟΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.21.001	Flow cytometry immunophenotyping for neutrophils (CD64) and monocytes (CD16)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΙΜΑΤΟΣ ΜΕ ΔΕΙΚΤΕΣ ΕΝΕΡΓΟΠΟΙΗΣΗΣ ΠΟΛΥΜΟΡΦΟΠΥΡΗΝΩΝ (CD64) ΚΑΙ ΜΟΝΟΚΥΤΤΑΡΩΝ (CD16)	
13.05.01.22.001	TCRVβ repertoire with flow cytometry		ΜΕΛΕΤΗ ΡΕΠΕΡΤΟΡΙΟΥ TCRVΒ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.05.01.23.001	Flow cytometry immunophenotyping for acute leukemias (AML, Τ, Β- ALL) in PB or BM (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΟΞΕΙΑΣ ΛΕΥΧΑΙΜΙΑΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΙΜΑ Η ΜΥΕΛΟΣ ΤΩΝ ΟΣΤΩΝ) (AML, Τ, Β- ALL) (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.24.001	Flow cytometry immunophenotyping for chronic lymphocytic leukemias (CLL) (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ Β ΧΡΟΝΙΑΣ ΛΕΜΦΟΚΥΤΤΑΡΙΚΗΣ ΛΕΥΧΑΙΜΙΑΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.25.001	Flow cytometry immunophenotyping for lymphoproliferative disorders (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΛΕΜΦΟΫΠΕΡΠΛΑΣΤΙΚΩΝ ΣΥΝΔΡΟΜΩΝ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.26.001	Flow cytometry immunophenotyping for multiple myeloma (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΠΟΛΛΑΠΛΟΥ ΜΥΕΛΩΜΑΤΟΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.27.001	Flow cytometry immunophenotyping for myelodysplastic disorders (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΜΥΕΛΟΔΥΣΠΛΑΣΤΙΚΩΝ ΣΥΝΔΡΟΜΩΝ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.28.001	Flow cytometry immunophenotyping for T-chronic lymphoproliferative disorders (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΜΕΛΕΤΗ Τ-ΧΡΟΝΙΩΝ ΛΕΜΦΟΫΠΕΡΠΛΑΣΤΙΚΩΝ ΣΥΝΔΡΟΜΩΝ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.29.001	Flow cytometry immunophenotyping for minimal residual disease in acute leukemia(per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΕΛΑΧΙΣΤΗΣ ΥΠΟΛΕΙΜΜΑΤΙΚΗΣ ΝΟΣΟΥ ΕΠΙ ΟΞΕΙΑΣ ΛΕΥΧΑΙΜΙΑΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.30.001	Flow cytometry immunophenotyping for minimal residual disease in B chronic lymphocytic leukemias (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΕΛΑΧΙΣΤΗΣ ΥΠΟΛΕΙΜΜΑΤΙΚΗΣ ΝΟΣΟΥ ΕΠΙ Β ΧΡΟΝΙΑΣ ΛΕΜΦΟΚΥΤΤΑΡΙΚΗΣ ΛΕΥΧΑΙΜΙΑΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.31.001	Flow cytometry immunophenotyping for minimal residual disease in lymphoproliferative disorders (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΕΛΑΧΙΣΤΗΣ ΥΠΟΛΕΙΜΜΑΤΙΚΗΣ ΝΟΣΟΥ ΕΠΙ ΛΕΜΦΟΫΠΕΡΠΛΑΣΤΙΚΩΝ ΣΥΝΔΡΟΜΩΝ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.32.001	Flow cytometry immunophenotyping for minimal residual disease in multiple myeloma (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΕΛΑΧΙΣΤΗΣ ΥΠΟΛΕΙΜΜΑΤΙΚΗΣ ΝΟΣΟΥ ΕΠΙ ΠΟΛΛΑΠΛΟΥ ΜΥΕΛΩΜΑΤΟΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.33.001	Flow cytometry immunophenotyping for minimal residual disease in myelodysplastic disorders (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΕΛΑΧΙΣΤΗΣ ΥΠΟΛΕΙΜΜΑΤΙΚΗΣ ΝΟΣΟΥ ΕΠΙ ΜΥΕΛΟΔΥΣΠΛΑΣΤΙΚΩΝ ΣΥΝΔΡΟΜΩΝ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.34.001	Flow cytometry immunophenotyping for minimal residual disease in T- lymphoproliferative disorders (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΕΛΑΧΙΣΤΗΣ ΥΠΟΛΕΙΜΜΑΤΙΚΗΣ ΝΟΣΟΥ ΕΠΙ Τ-ΧΡΟΝΙΩΝ ΛΕΜΦΟΫΠΕΡΠΛΑΣΤΙΚΩΝ ΣΥΝΔΡΟΜΩΝ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.35.001	Flow cytometry immynophenotyping for mast cells (CD2, CD25)		ΜΑΣΤΟΚΥΤΤΑΡΑ ΚΑΙ ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΜΑΣΤΟΚΥΤΤΑΡΩΝ CD2, CD25	
13.05.01.36.001	Flow cytometry crossmatch of donor B and T lymphocytes in transplantations (per monoclonal antibody)		ΔΙΑΣΤΑΥΡΩΣΗ Β ΚΑΙ Τ ΛΕΜΦΟΚΥΤΤΑΡΩΝ ΔΟΤΟΥ ΜΕ ΟΡΟ ΛΗΠΤΗ ΕΠΙ ΜΕΤΑΜΟΣΧΕΥΣΕΩΝ ΣΥΜΠΑΓΩΝ ΟΡΓΑΝΩΝ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.37.001	Flow cytometry bone marrow biopsy immunophenotyping (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΜΥΕΛΟΥ ΤΩΝ ΟΣΤΩΝ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.38.001	Flow cytometry bone marrow aspiration immunophenotyping (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΟΣ ΕΝΑΙΩΡΗΜΑΤΟΣ ΜΥΕΛΟΥ ΤΩΝ ΟΣΤΩΝ ΑΠΟ ΟΣΤΕΟΜΥΕΛΙΚΗ ΒΙΟΨΙΑ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.39.001	DNA ploidy and S-phase fraction with flow cytometry		ΑΝΑΛΥΣΗ DNA ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΕΛΕΓΧΟΣ ΠΛΟΕΙΔΙΑΣ ΚΥΤΤΑΡΩΝ ΚΑΙ ΦΑΣΕΩΝ ΤΟΥ ΚΥΤΤΑΡΙΚΟΥ ΚΥΚΛΟΥ ΣΕ ΒΙΟΛΟΓΙΚΑ ΥΓΡΑ ΚΑΙ ΣΥΜΠΑΓΕΙΣ ΟΓΚΟΥΣ)	
13.05.01.40.001	Flow cytometry immunophenotyping for paroxysmal nocturnal hemoglobinuria (PNH) (per monoclonal antibody)		ΕΛΕΓΧΟΣ ΠΑΡΟΞΥΣΜΙΚΗΣ ΝΥΚΤΕΡΙΝΗΣ ΑΙΜΟΣΦΑΙΡΙΝΟΥΡΙΑΣ (ΡΝΗ) ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.41.001	Flow cytometry immunophenotyping for hemolytic uremic syndrome (CD46)		ΠΡΟΣΔΙΟΡΙΣΜΟΣ CD46 ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΣΕ ΑΙΜΟΛΥΤΙΚΟ ΟΥΡΑΙΜΙΚΟ ΣΥΝΔΡΟΜΟ	
13.05.01.42.001	Fetal-Maternal Hemorrhage with Flow Cytometry		ΑΝΑΖΗΤΗΣΗ ΕΜΒΡΥΙΚΩΝ ΚΥΤΤΑΡΩΝ ΣΤΟ ΑΙΜΑ ΤΗΣ ΜΗΤΕΡΑΣ (ΥΠΟΝΟΙΑ ΕΜΒΡΥΟΜΗΤΡΙΚΗΣ ΑΙΜΟΡΡΑΓΙΑΣ) ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.05.01.43.001	Phagocytosis measurement by flow cytometry		ΕΛΕΓΧΟΣ ΦΑΓΟΚΥΤΤΑΡΩΣΗΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.05.01.44.001	Flow cytometry study of polymorphonuclear neutrophil oxidative burst		ΕΛΕΓΧΟΣ ΟΞΕΙΔΩΤΙΚΗΣ ΕΚΡΗΞΗΣ ΠΟΛΥΜΟΡΦΟΠΥΡΗΝΩΝ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.05.01.45.001	Flow cytometry immunophenotyping of cerebrospinal fluid (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΕΓΚΕΦΑΛΟΝΩΤΙΑΙΟΥ ΥΓΡΟΥ (ENY) ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.46.001	Flow cytometry immunophenotyping of ascites, pleural, pericardial or synovial fluid (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΑΣΚΙΤΙΚΟΥ, ΠΛΕΥΡΙΤΙΚΟΥ, ΠΕΡΙΚΑΡΔΙΑΚΟΥ Η ΑΡΘΡΙΚΟΥ ΥΓΡΟΥ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.47.001	Flow cytometry immunophenotyping of bronchoalveolar lavage (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΒΡΟΓΧΟΚΥΨΕΛΙΔΙΚΟΥ ΕΚΠΛΥΜΑΤΟΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.48.001	Flow cytometry immunophenotyping of lymph node fine needle aspiration (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΥΛΙΚΟΥ ΒΙΟΨΙΑΣ ΛΕΜΦΑΔΕΝΑ ΔΙΑ ΛΕΠΤΗΣ ΒΕΛΟΝΗΣ (FNA) ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.49.001	Flow cytometry immunophenotyping of fresh lymph node biopsy (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΥΛΙΚΟΥ ΒΙΟΨΙΑΣ (ΝΩΠΟ ΤΕΜΑΧΙΟ) ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.50.001	Flow cytometry immunophenotyping of vitreous or aqueous humor (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΥΑΛΟΕΙΔΟΥΣ Η ΥΔΑΤΟΕΙΔΟΥΣ ΥΓΡΟΥ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.51.001	Flow cytometry lymphocyte immunophenotyping-percentage and absolute values (per monoclonal antibody)		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΠΟΛΥΤΟΥ ΑΡΙΘΜΟΥ ΥΠΟΠΛΗΘΥΣΜΩΝ ΛΕΜΦΟΚΥΤΤΑΡΩΝ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.52.001	Flow cytometry immunophenotyping for cutaneous lymphoma (per monoclonal antibody)		ΑΝΟΣΟΦΑΙΝΟΤΥΠΙΚΗ ΑΝΑΛΥΣΗ ΔΕΡΜΑΤΙΚΩΝ ΛΕΜΦΩΜΑΤΩΝ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ (ΑΝΑ ΜΟΝΟΚΛΩΝΙΚΟ)	
13.05.01.90.900	Other Monoclonal Antibodies for Flow Cytometry		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΛΛΩΝ ΜΟΝΟΚΛΩΝΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.05.03.01.001	Stem Cell Enumeration (CD34) in peripheral blood with flow cytometry		ΜΕΤΡΗΣΗ CD34 ΑΡΧΕΓΟΝΩΝ ΑΙΜΟΠΟΙΗΤΙΚΩΝ ΚΥΤΤΑΡΩΝ (STEM CELLS) ΣΕ ΠΕΡΙΦΕΡΙΚΟ ΑΙΜΑ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.05.03.01.002	Stem Cell Enumeration (CD34) in buffy coats with flow cytometry		ΜΕΤΡΗΣΗ CD34 ΑΡΧΕΓΟΝΩΝ ΑΙΜΟΠΟΙΗΤΙΚΩΝ ΚΥΤΤΑΡΩΝ (STEM CELLS) ΣΕ ΠΡΟΪΟΝ ΛΕΥΚΑΦΑΙΡΕΣΗΣ ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ	
13.05.03.90.900	Other Stem Cell Enumeration tests		ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΠΡΟΣΔΙΟΡΙΣΜΟΥ ΑΡΧΕΓΟΝΩΝ ΑΙΜΟΠΟΙΗΤΙΚΩΝ ΚΥΤΤΑΡΩΝ	
13.90.90.90.900	Unclassifiable and Other Haematology		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΑΙΜΑΤΟΛΟΓΙΑΣ ΠΟΥ ΔΕΝ ΑΝΑΦΕΡΟΝΤΑΙ ΑΛΛΟΥ	
18.01.01.01.001	Immunoglobulin A	IgA	ΑΝΟΣΟΣΦΑΙΡΙΝΗ Α	
18.01.01.03.001	Immunoglobulin D	IgD	ΑΝΟΣΟΣΦΑΙΡΙΝΗ D	
18.01.01.05.001	Immunoglobulin G	IgG	ΑΝΟΣΟΣΦΑΙΡΙΝΗ G	
18.01.01.06.001	Immunoglobulin G subclass reagents		ΑΝΟΣΟΣΦΑΙΡΙΝΗ G (ΥΠΟΤΑΞΕΙΣ)	ΥΠΟΤΑΞΕΙΣ IgG (IgG1, IgG2, IgG3, IgG4)
18.01.01.07.001	Immunoglobulin M	IgM	ΑΝΟΣΟΣΦΑΙΡΙΝΗ Μ	
18.01.01.20.001	Kappa and Lambda light chains		ΕΛΑΦΡΕΣ ΚΑΠΑ, ΛΑΜΔΑ ΑΛΥΣΙΔΕΣ	
18.01.01.30.001	Immunoelectrophoresis		ΑΝΟΣΟΗΛΕΚΤΡΟΦΟΡΗΣΗ	
18.01.01.30.002	Ιmmunosubtraction capillary electrophoresis	IS-CE	ΤΡΙΧΟΕΙΔΙΚΗ ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΠΡΩΤΕΙΝΩΝ	
18.01.01.31.001	Immunofixation		ΑΝΟΣΟΚΑΘΗΛΩΣΗ	
18.01.01.33.001	IgG index		ΕΛΕΓΧΟΣ ΕΝΔΟΓΕΝΟΥΣ ΣΥΝΘΕΣΗΣ IgG ΣΤΟ ΕΝΥ (IgG index)	
18.01.01.34.001	Cryoglobulin Identification		ΚΡΥΟΣΦΑΙΡΙΝΕΣ, ΑΝΙΧΝΕΥΣΗ ΚΡΥΟΪΖΗΜΑΤΟΣ	
18.01.01.35.001	Cryoglobulin Typing		ΤΥΠΟΠΟΙΗΣΗ ΚΡΥΟΣΦΑΙΡΙΝΩΝ ΜΕ ΑΝΟΣΟΚΑΘΗΛΩΣΗ	
18.01.01.36.001	u Immunofixation		ΑΝΟΣΟΚΑΘΗΚΩΣΗ ΟΥΡΩΝ ΜΕΤΑ ΣΥΜΠΥΚΝΩΣΗ	
18.01.01.37.001	CSF Immunofixation		ΑΝΟΣΟΚΑΘΗΛΩΣΗ ΕΝΥ ΜΕΤΑ ΑΠΟ ΣΥΜΠΥΚΝΩΣΗ	
18.01.01.38.001	Kappa and Lambda free light chains		ΕΛΕΥΘΕΡΕΣ ΕΛΑΦΡΕΣ ΚΑΠΑ ΚΑΙ ΛΑΜΔΑ ΑΛΥΣΙΔΕΣ	
18.01.01.38.002	Kappa/Lambda free light chain ratio		ΛΟΓΟΣ ΕΛΕΥΘΕΡΩΝ ΕΛΑΦΡΩΝ ΚΑΠΑ/ΛΑΜΔΑ ΑΛΥΣΙΔΩΝ	
18.01.01.39.001	Serum IgAκ, IgAλ intact heavy chains	IgAκ, IgAλ	ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΚΕΡΑΙΩΝ ΜΟΡΙΩΝ ΑΝΟΣΟΣΦΑΙΡΙΝΩΝ IgA ΙΣΟΤΥΠΟΥ ΣΥΝΔΕΔΕΜΕΝΩΝ ΜΕ ΕΛΑΦΡΕΣ κ ή λ ΑΛΥΣΙΔΕΣ	
18.01.01.40.001	Serum IgGκ, IgGλ intact heavy chains	IgGκ, IgGλ	ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΚΕΡΑΙΩΝ ΜΟΡΙΩΝ ΑΝΟΣΟΣΦΑΙΡΙΝΩΝ IgG ΙΣΟΤΥΠΟΥ ΣΥΝΔΕΔΕΜΕΝΩΝ ΜΕ ΕΛΑΦΡΕΣ κ ή λ ΑΛΥΣΙΔΕΣ	
18.01.01.41.001	Serum IgMκ, IgMλ intact heavy chains	IgMκ, IgMλ	ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΚΕΡΑΙΩΝ ΜΟΡΙΩΝ ΑΝΟΣΟΣΦΑΙΡΙΝΩΝ IgM ΙΣΟΤΥΠΟΥ ΣΥΝΔΕΔΕΜΕΝΩΝ ΜΕ ΕΛΑΦΡΕΣ κ ή λ ΑΛΥΣΙΔΕΣ	
18.01.01.42.001	Electrophoresis for Isoelectric focusing for Multiple Sclerosis (cerebrospinal fluid)		IgG ΟΛΙΓΟΚΛΩΝΙΚΑ ΑΝΤΙΣΩΜΑΤΑ ΣΤΟ ΕΝΥ (ΑΝΟΣΟΚΑΘΗΛΩΣΗ ΜΕΤΑ ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΙΣΟΗΛΕΚΤΡΙΚΗΣ ΕΣΤΙΑΣΗΣ-ISOELECTRIC FOCUSING-IEF)	
18.01.01.43.001	CSF Immunoglobulins		ΑΝΟΣΟΣΦΑΙΡΙΝΕΣ IgG, IgM, IgA ΣΤΟ ΕΝΥ	
18.01.01.90.900	Other Immunoglobulins		ΕΞΕΤΑΣΕΙΣ ΑΛΛΩΝ ΑΝΟΣΟΣΦΑΙΡΙΝΩΝ (ΕΚΤΟΣ IGE)	
18.01.02.01.001	Complement Component C1q	C1q	ΠΑΡΑΓΟΝΤΑΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ C1q	
18.01.02.02.001	Complement Component C1 inactivator	C1-INH	ΑΝΑΣΤΟΛΕΑΣ της C1 ΕΣΤΕΡΑΣΗΣ (C1 inhibitor)	C1 INA
18.01.02.03.001	Complement Component C3	C3	ΠΑΡΑΓΟΝΤΑΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ C3	
18.01.02.04.001	Complement Component for Bb	FBb	ΠΑΡΑΓΟΝΤΑΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ Β	
18.01.02.05.001	Complement Component C4	C4	ΠΑΡΑΓΟΝΤΑΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ C4	
18.01.02.06.001	Complement Component C5a	C5a	ΠΑΡΑΓΟΝΤΑΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ C5A	
18.01.02.07.001	Complement Component C5-9	C5-9	ΠΑΡΑΓΟΝΤΑΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ C5-9	MAC ΣΥΜΠΕΛΓΜΑ ΠΡΟΣΒΟΛΗΣ ΜΕΜΒΡΑΝΗΣ (C5-9)
18.01.02.11.001	Total Complement Activity (CH50)	CH50	ΟΛΙΚΟ ΑΙΜΟΛΥΤΙΚΟ ΣΥΜΠΛΗΡΩΜΑ CΗ50	
18.01.02.20.001	Alternative Pathway Activity	APH50	ΕΚΤΙΜΗΣΗ ΤΗΣ ΛΕΙΤΟΥΡΓΙΚΗΣ ΔΡΑΣΤΗΡΙΟΤΗΤΑΣ ΤΗΣ ΕΝΑΛΛΑΚΤΙΚΗΣ ΟΔΟΥ ΤΟΥ ΣΥΜΠΛΗΡΩΜΑΤΟΣ APΗ50	
18.01.02.21.001	Lectin Pathway		ΕΚΤΙΜΗΣΗ ΤΗΣ ΛΕΙΤΟΥΡΓΙΚΗΣ ΔΡΑΣΤΗΡΙΟΤΗΤΑΣ ΤΗΣ ΟΔΟΥ ΤΩΝ ΛΕΚΤΙΝΩΝ	
18.01.02.22.001	Complement Component C2	C2	ΠΑΡΑΓΟΝΤΑΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ C2	
18.01.02.23.001	Properdin		ΠΡΟΠΕΡΔΙΝΗ	
